1, Tony Martin, Htc – Highroad, 55′ 33″
2, Cadel Evans, Bmc Racing Team, at 00:07
3, Alberto Contador, Saxo Bank Sungard, at 01:06
4, Thomas De Gendt, Vacansoleil-Dcm, at 01:29
5, Richie Porte, Saxo Bank Sungard, at 01:30
6, Jean-christophe Peraud, Ag2r La Mondiale, at 01:33
7, Samuel Sanchez, Euskaltel – Euskadi, at 01:37
8, Fabian Cancellara, Team Leopard-Trek, at 01:42
9, Peter Velits, Htc – Highroad, at 02:03
10, Rein Taaramae, Cofidis Le Credit En Ligne, at 02:03
11, Tom Danielson, Team Garmin – Cervelo, at 02:08
12, Boasson Hagen Edvald, Sky Procycling, at 02:10
13, Thomas Voeckler, Team Europcar, at 02:14
14, Maxime Monfort, Team Leopard-Trek, at 02:36
15, Kristjan Koren, Liquigas-Cannondale, at 02:36
16, Adriano Malori, Lampre – Isd, at 02:38
17, Andy Schleck, Team Leopard-Trek, at 02:38
18, Lieuwe Westra, Vacansoleil-Dcm, at 02:39
19, Christophe Riblon, Ag2r La Mondiale, at 02:39
20, Frank Schleck, Team Leopard-Trek, at 02:41
21, Pierre Rolland, Team Europcar, at 02:50
22, Jérôme Coppel, Saur-Sojasun, at 02:51
23, Jurgen Roelandts, Omega Pharma – Lotto, at 02:57
24, Carlos Barredo, Rabobank Cycling Team, at 02:58
25, Christian Vande Velde, Team Garmin – Cervelo, at 03:00
26, Sandy Casar, Fdj, at 03:03
27, Jérémy Roy, Fdj, at 03:23
28, Sylvain Chavanel, Quick Step Cycling Team, at 03:28
29, Danny Pate, Htc – Highroad, at 03:30
30, Vladimir Karpets, Katusha Team, at 03:36
31, Damiano Cunego, Lampre – Isd, at 03:38
32, David Millar, Team Garmin – Cervelo, at 03:41
33, Maciej Bodnar, Liquigas-Cannondale, at 03:43
34, Ivan Basso, Liquigas-Cannondale, at 03:47
35, Nicki Sorensen, Saxo Bank Sungard, at 03:51
36, Lars Bak, Htc – Highroad, at 03:57
37, Anker Sorensen Chris, Saxo Bank Sungard, at 03:58
38, Maxime Bouet, Ag2r La Mondiale, at 03:59
39, Robert Gesink, Rabobank Cycling Team, at 04:01
40, Maarten Tjallingii, Rabobank Cycling Team, at 04:07
41, Haimar Zubeldia, Team Radioshack, at 04:10
42, Gorka Verdugo, Euskaltel – Euskadi, at 04:13
43, Markel Irizar, Team Radioshack, at 04:18
44, Juan Antonio Flecha Giannoni, Sky Procycling, at 04:20
45, Christian Knees, Sky Procycling, at 04:23
46, Geraint Thomas, Sky Procycling, at 04:24
47, Anthony Delaplace, Saur-Sojasun, at 04:30
48, Daniel Oss, Liquigas-Cannondale, at 04:35
49, Dmitriy Muravyev, Team Radioshack, at 04:36
50, Kevin De Weert, Quick Step Cycling Team, at 04:38
51, Alberto Costa Rui, Movistar Team, at 04:39
52, Arnold Jeannesson, Fdj, at 04:42
53, Rob Ruijgh, Vacansoleil-Dcm, at 04:43
54, Jelle Vanendert, Omega Pharma – Lotto, at 04:44
55, Stuart O’grady, Team Leopard-Trek, at 04:44
56, Mikhail Ignatyev, Katusha Team, at 04:46
