1,Germany,M. Kittel,Giant,3:20:50
2,Norway,A. Kristoff,Katyusha,0
3,Lithuania,R. Navardauskas,Garmin,0
4,Germany,A. Greipel,Lotto,0
5,Australia,M. Renshaw,O.Ph.-Q-Step,0
6,Austria,B. Eisel,Team Sky,0
7,France,B. Coquard,Europcar,0
8,Italy,A. Petacchi,O.Ph.-Q-Step,0
9,Slovakia,P. Sagan,Cannondale,0
10,France,R. Feillu,Bretagne,0
11,Italy,D. Bennati,Tinkoff - Saxo,0
12,France,A. Démare,FDJ.fr,0
13,Belgium,G. Van Avermaet,BMC Racing,0
14,France,A. Petit,Cofidis,0
15,Belgium,S. Vanmarcke,Belkin,0
16,Italy,D. Oss,BMC Racing,0
17,Italy,D. Cimolai,Lampre,0
18,France,R. Bardet,AG2R,4
19,United States,T. van Garderen,BMC Racing,4
20,Belgium,J. Vansummeren,Garmin,4
21,Germany,R. Kluge,IAM Cycling,6
22,France,K. Reza,Europcar,6
23,New Zealand,J. Bauer,Garmin,6
24,Netherlands,T. Veelers,Giant,6
25,Italy,E. Viviani,Cannondale,9
26,Germany,J. Voigt,Trek,9
27,Spain,A. Valverde,Movistar,9
28,France,S. Dumoulin,AG2R,9
29,Slovakia,P. Velits,BMC Racing,9
30,Netherlands,B. Tankink,Belkin,9
31,Italy,M. Montaguti,AG2R,9
32,France,Sy. Chavanel,IAM Cycling,9
33,Spain,H. Zubeldia,Trek,9
34,France,S. Minard,AG2R,9
35,France,C. Riblon,AG2R,9
36,France,J. Péraud,AG2R,9
37,United States,C. Horner,Lampre,9
38,Portugal,N. Oliveira,Lampre,9
39,Great Britain,G. Thomas,Team Sky,9
40,France,M. Delage,FDJ.fr,15
41,Netherlands,K. de Kort,Giant,15
42,Switzerland,M. Elmiger,IAM Cycling,15
43,Switzerland,M. Albasini,Orica,15
44,France,A. Delaplace,Bretagne,15
45,France,J. Simon,Cofidis,15
46,Switzerland,M. Schär,BMC Racing,15
47,Netherlands,B. Mollema,Belkin,15
48,France,W. Bonnet,FDJ.fr,15
49,Netherlands,L. Boom,Belkin,15
50,Netherlands,L. ten Dam,Belkin,15
51,Spain,M. Irizar,Trek,15
52,Spain,L. Maté,Cofidis,15
53,Luxembourg,F. Schleck,Trek,15
54,Czech Republic,L. König,NetApp,15
55,United States,P. Stetina,BMC Racing,15
56,France,T. Pinot,FDJ.fr,15
57,Czech Republic,J. Bárta,NetApp,15
58,France,P. Rolland,Europcar,15
59,Spain,M. Nieve,Team Sky,15
60,Netherlands,T. Dumoulin,Giant,15
61,Spain,D. López,Team Sky,15
62,France,J. Bideau,Bretagne,15
63,Italy,M. Trentin,O.Ph.-Q-Step,15
64,France,J. Roy,FDJ.fr,15
